,how_many,0.0,0.001,5.0,15.001
30764,32,0,0,1,0
30821,3,0,0,0,1
30839,3,0,0,0,1
30843,5,0,0,0,1
30855,16,0,0,0,1
30862,14,0,0,0,1
30869,18,0,0,0,1
30885,29,0,0,0,1
30889,32,0,0,0,1
30902,37,0,0,0,1
30915,54,0,0,0,1
31047,1,1,0,0,0
31079,1,1,0,0,0
31100,1,0,0,1,0
31115,1,0,0,1,0
31118,1,0,0,0,1
31135,2,0,0,0,1
31162,2,0,0,0,1
31175,3,0,0,0,1
31179,2,0,1,0,0
31203,1,1,0,0,0
31338,1,0,1,0,0
31349,2,1,0,0,0
31370,12,0,0,1,0
31389,30,0,0,1,0
31395,65,0,0,1,0
31408,60,0,0,0,1
31425,42,0,0,0,1
31448,48,0,0,0,1
31456,84,0,0,1,0
31478,45,1,0,0,0
31773,1,0,0,0,1
31796,7,0,0,0,1
31801,16,0,0,0,1
31812,13,0,0,0,1
31833,19,0,1,0,0
31844,10,1,0,0,0
31884,4,0,1,0,0
31892,10,0,1,0,0
31895,20,0,1,0,0
31906,30,0,1,0,0
31912,30,1,0,0,0
31960,1,1,0,0,0
31967,1,0,1,0,0
31982,2,0,0,0,0
31986,1,0,0,1,0
32000,1,0,0,0,1
32009,1,0,0,0,0
32015,10,0,0,0,1
32041,2,0,0,0,1
32044,6,0,0,0,1
32053,1,0,0,0,1
32070,2,0,0,1,0
32073,4,0,0,0,0
32098,6,1,0,0,0
32101,8,1,0,0,0
32118,2,1,0,0,0
32171,7,0,0,0,1
32179,6,0,0,0,1
32326,4,0,0,1,0
32348,2,0,0,0,1
32353,2,0,0,0,1
32364,2,0,0,0,1
32375,1,0,0,0,1
32418,2,1,0,0,0
32626,1,0,0,1,0
32772,10,0,1,0,0
32777,20,0,1,0,0
32790,50,0,0,1,0
33216,1,0,1,0,0
33385,20,0,1,0,0
33391,33,0,1,0,0
33399,30,0,0,1,0
33402,38,0,0,0,1
33411,31,0,0,0,1
33414,45,0,0,0,1
33425,33,0,0,0,1
33433,35,0,0,0,1
33443,49,0,0,0,1
33444,65,1,0,0,0
33451,65,1,0,0,0
33458,29,1,0,0,0
33471,40,1,0,0,0
33495,3,1,0,0,0
33510,3,1,0,0,0
33606,3,0,0,0,1
33649,1,0,0,0,1
33671,1,0,0,0,1
33705,1,0,0,1,0
33718,1,1,0,0,0
33730,1,1,0,0,0
33823,1,0,1,0,0
33886,7,1,0,0,0
33892,3,1,0,0,0
33909,11,0,0,1,0
33914,3,0,0,1,0
33921,4,0,0,1,0
33934,1,0,0,0,1
33947,2,0,0,0,1
33964,4,0,0,0,1
33992,13,1,0,0,0
34069,1,0,0,1,0
34077,1,0,0,1,0
34099,3,0,0,0,1
34118,1,1,0,0,0
34703,3,0,0,1,0
34744,6,0,0,0,1
34752,44,0,0,0,0
34770,2,0,0,1,0
34788,45,1,0,0,0
34837,1,0,1,0,0
34871,3,0,0,1,0
34884,2,0,0,1,0
34892,2,0,1,0,0
34904,2,0,1,0,0
34907,1,0,0,1,0
34923,4,0,0,1,0
34934,2,0,0,0,1
34947,3,0,0,1,0
34968,1,0,1,0,0
34977,5,1,0,0,0
34989,3,1,0,0,0
35001,1,1,0,0,0
35736,2,0,0,0,1
35751,3,0,0,0,1
35757,1,0,0,0,1
35763,5,0,0,0,1
35781,4,0,0,0,1
35782,7,0,0,0,1
35795,5,0,0,0,1
35798,5,0,0,0,1
35812,4,0,0,0,1
35816,5,0,0,0,1
35825,6,0,0,0,1
35833,7,0,0,0,1
35839,8,0,0,1,0
35859,1,1,0,0,0
35914,2,0,0,0,1
36236,1,0,0,1,0
